k,N,time
sequencial,500000,0.006644
sequencial,500000,0.004577
sequencial,500000,0.002397
sequencial,500000,0.004491
sequencial,500000,0.003792
sequencial,1000000,0.010771
sequencial,1000000,0.008096
sequencial,1000000,0.005134
sequencial,1000000,0.009443
sequencial,1000000,0.006388
sequencial,2000000,0.015863
sequencial,2000000,0.010789
sequencial,2000000,0.013
sequencial,2000000,0.017622
sequencial,2000000,0.017186
sequencial,4000000,0.034761
sequencial,4000000,0.029388
sequencial,4000000,0.03027
sequencial,4000000,0.029501
sequencial,4000000,0.026596
sequencial,1000000000,9.621236
sequencial,1000000000,8.558573
sequencial,1000000000,10.156979
sequencial,1000000000,9.620996
sequencial,1000000000,9.42579
1,500000,0.003746
1,500000,0.003604
1,500000,0.003719
1,500000,0.003603
1,500000,0.003976
1,1000000,0.006967
1,1000000,0.006959
1,1000000,0.006925
1,1000000,0.007093
1,1000000,0.006918
1,2000000,0.013684
1,2000000,0.014153
1,2000000,0.019839
1,2000000,0.013808
1,2000000,0.01344
1,4000000,0.027057
1,4000000,0.026967
1,4000000,0.026541
1,4000000,0.026863
1,4000000,0.026946
1,1000000000,10.377012
1,1000000000,10.140314
1,1000000000,10.598574
1,1000000000,9.669274
1,1000000000,10.589852
2,500000,0.002616
2,500000,0.002601
2,500000,0.002732
2,500000,0.003511
2,500000,0.003541
2,1000000,0.006078
2,1000000,0.005948
2,1000000,0.005906
2,1000000,0.005991
2,1000000,0.005662
2,2000000,0.010591
2,2000000,0.009463
2,2000000,0.009168
2,2000000,0.009028
2,2000000,0.009175
2,4000000,0.0179
2,4000000,0.017721
2,4000000,0.018061
2,4000000,0.018224
2,4000000,0.017826
2,1000000000,5.618961
2,1000000000,5.576692
2,1000000000,5.699922
2,1000000000,5.651082
2,1000000000,5.626088
3,500000,0.004402
3,500000,0.002672
3,500000,0.003315
3,500000,0.003712
3,500000,0.002522
3,1000000,0.00513
3,1000000,0.005617
3,1000000,0.006036
3,1000000,0.007711
3,1000000,0.006811
3,2000000,0.010933
3,2000000,0.011502
3,2000000,0.011325
3,2000000,0.013048
3,2000000,0.008664
3,4000000,0.015213
3,4000000,0.017802
3,4000000,0.018218
3,4000000,0.017636
3,4000000,0.016538
3,1000000000,4.552988
3,1000000000,4.359261
3,1000000000,4.378929
3,1000000000,4.796297
3,1000000000,4.553395
4,500000,0.004069
4,500000,0.005466
4,500000,0.005229
4,500000,0.003822
4,500000,0.005065
4,1000000,0.0087
4,1000000,0.008885
4,1000000,0.008685
4,1000000,0.007257
4,1000000,0.00799
4,2000000,0.01167
4,2000000,0.010895
4,2000000,0.010033
4,2000000,0.010427
4,2000000,0.010358
4,4000000,0.017535
4,4000000,0.016644
4,4000000,0.016072
4,4000000,0.017469
4,4000000,0.018425
4,1000000000,3.878303
4,1000000000,4.182806
4,1000000000,4.00965
4,1000000000,4.171491
4,1000000000,3.830445
5,500000,0.006444
5,500000,0.007233
5,500000,0.005377
5,500000,0.007153
5,500000,0.007514
5,1000000,0.010279
5,1000000,0.009731
5,1000000,0.010018
5,1000000,0.010198
5,1000000,0.01035
5,2000000,0.012135
5,2000000,0.012471
5,2000000,0.011494
5,2000000,0.011029
5,2000000,0.011702
5,4000000,0.016809
5,4000000,0.016693
5,4000000,0.017902
5,4000000,0.022987
5,4000000,0.015374
5,1000000000,3.911306
5,1000000000,3.761463
5,1000000000,3.612505
5,1000000000,3.627171
5,1000000000,3.664306
6,500000,0.007139
6,500000,0.009116
6,500000,0.004625
6,500000,0.009366
6,500000,0.009433
6,1000000,0.011628
6,1000000,0.010812
6,1000000,0.010226
6,1000000,0.011716
6,1000000,0.009589
6,2000000,0.014801
6,2000000,0.014987
6,2000000,0.01392
6,2000000,0.013178
6,2000000,0.011987
6,4000000,0.018614
6,4000000,0.020136
6,4000000,0.016395
6,4000000,0.017583
6,4000000,0.01715
6,1000000000,3.419691
6,1000000000,3.305202
6,1000000000,3.431458
6,1000000000,3.625845
6,1000000000,3.500392
7,500000,0.011419
7,500000,0.004736
7,500000,0.004406
7,500000,0.013905
7,500000,0.011305
7,1000000,0.006714
7,1000000,0.014728
7,1000000,0.011658
7,1000000,0.011573
7,1000000,0.010053
7,2000000,0.012483
7,2000000,0.010516
7,2000000,0.014087
7,2000000,0.012783
7,2000000,0.015368
7,4000000,0.018518
7,4000000,0.020141
7,4000000,0.023803
7,4000000,0.020011
7,4000000,0.018195
7,1000000000,3.462894
7,1000000000,3.587064
7,1000000000,3.272714
7,1000000000,3.315493
7,1000000000,3.388538
